service_id,date,exception_type
"757_114653","20180227","1"
"757_114653","20180228","1"
"757_114653","20180301","1"
"757_114653","20180302","1"
"757_114653","20180305","1"
"757_114653","20180306","1"
"757_114653","20180307","1"
"757_114653","20180308","1"
"757_114653","20180309","1"
"757_114653","20180312","1"
"757_114653","20180313","1"
"757_114653","20180314","1"
"757_114653","20180315","1"
"757_114653","20180316","1"
"757_114653","20180319","1"
"757_114653","20180320","1"
"757_114653","20180321","1"
"757_114653","20180322","1"
"757_114653","20180323","1"
"757_114653","20180326","1"
"757_114653","20180327","1"
"757_114653","20180328","1"
"757_114653","20180404","1"
"757_114653","20180405","1"
"757_114653","20180406","1"
"757_114653","20180409","1"
"757_114653","20180410","1"
"757_114653","20180411","1"
"757_114653","20180412","1"
"757_114653","20180413","1"
"757_114653","20180416","1"
"757_114653","20180417","1"
"757_114653","20180418","1"
"757_114653","20180419","1"
"757_114653","20180420","1"
"757_114653","20180423","1"
"757_114653","20180424","1"
"757_114653","20180426","1"
"757_114653","20180427","1"
"757_114653","20180430","1"
"757_114653","20180502","1"
"757_114653","20180503","1"
"757_114653","20180504","1"
"757_114653","20180507","1"
"757_114653","20180508","1"
"757_114653","20180509","1"
"757_114653","20180510","1"
"757_114653","20180511","1"
"757_114653","20180514","1"
"757_114653","20180515","1"
"757_114653","20180516","1"
"757_114653","20180517","1"
"757_114653","20180518","1"
"757_114653","20180521","1"
"757_114653","20180522","1"
"757_114653","20180523","1"
"757_114653","20180524","1"
"757_114653","20180525","1"
"757_114653","20180528","1"
"757_114653","20180529","1"
"757_114653","20180530","1"
"757_114653","20180531","1"
"757_114653","20180601","1"
"757_114654","20171102","1"
"757_114654","20171227","1"
"757_114654","20171228","1"
"757_114654","20171229","1"
"757_114654","20180102","1"
"757_114654","20180103","1"
"757_114654","20180104","1"
"757_114654","20180105","1"
"757_114654","20180329","1"
"757_114654","20180330","1"
"757_114654","20180403","1"
"757_114657","20171230","1"
"757_114657","20180331","1"
"757_114658","20170916","1"
"757_114658","20170923","1"
"757_114658","20170930","1"
"757_114658","20171007","1"
"757_114658","20171014","1"
"757_114658","20171021","1"
"757_114658","20171028","1"
"757_114658","20171104","1"
"757_114658","20171111","1"
"757_114658","20171118","1"
"757_114658","20171125","1"
"757_114658","20171202","1"
"757_114658","20171209","1"
"757_114658","20171216","1"
"757_114658","20171223","1"
"757_114658","20180113","1"
"757_114658","20180120","1"
"757_114658","20180127","1"
"757_114658","20180203","1"
"757_114658","20180210","1"
"757_114658","20180217","1"
"757_114658","20180224","1"
"757_114658","20180303","1"
"757_114658","20180310","1"
"757_114658","20180317","1"
"757_114658","20180324","1"
"757_114658","20180407","1"
"757_114658","20180414","1"
"757_114658","20180421","1"
"757_114658","20180428","1"
"757_114658","20180505","1"
"757_114658","20180512","1"
"757_114658","20180519","1"
"757_114658","20180526","1"
"757_114659","20170917","1"
"757_114659","20170924","1"
"757_114659","20171001","1"
"757_114659","20171008","1"
"757_114659","20171015","1"
"757_114659","20171022","1"
"757_114659","20171029","1"
"757_114659","20171101","1"
"757_114659","20171105","1"
"757_114659","20171112","1"
"757_114659","20171119","1"
"757_114659","20171126","1"
"757_114659","20171203","1"
"757_114659","20171225","1"
"757_114659","20171226","1"
"757_114659","20171231","1"
"757_114659","20180101","1"
"757_114659","20180106","1"
"757_114659","20180107","1"
"757_114659","20180114","1"
"757_114659","20180121","1"
"757_114659","20180128","1"
"757_114659","20180204","1"
"757_114659","20180211","1"
"757_114659","20180218","1"
"757_114659","20180225","1"
"757_114659","20180304","1"
"757_114659","20180311","1"
"757_114659","20180318","1"
"757_114659","20180325","1"
"757_114659","20180401","1"
"757_114659","20180402","1"
"757_114659","20180408","1"
"757_114659","20180415","1"
"757_114659","20180422","1"
"757_114659","20180425","1"
"757_114659","20180429","1"
"757_114659","20180501","1"
"757_114659","20180506","1"
